newspaper_name,date,headline,article,summary,category
Indian Express,2020-06-01 00:00:00,Virus may be invisible enemy but COVID warriors invincible: PM Modi,"Prime Minister Narendra Modi Monday hailed the contribution of medical workers during the coronavirus pandemic. Addressing an event at the Rajiv Gandhi Health University in Bengaluru via video conference, Modi said, “The virus may be an invisible enemy. But our warriors, medical workers are invincible. In the battle of Invisible vs Invincible, our medical workers are sure to win.” He also said that the world is looking at them with gratitude, hope, and seeks both ‘care’ and ‘cure’.

“At the root of India’s brave fight against COVID-19 is the hard work of the medical community and our corona warriors. In fact, doctors and medical workers are like soldiers, but without the soldiers’ uniforms,” he added.
During the address, PM Modi also stressed that violence against COVID warriors will not be tolerated. “I want to state it clearly- violence, abuse and rude behaviour against front-line workers is not acceptable,” he said, during the inauguration of silver jubilee celebrations of Rajiv Gandhi University of Health Sciences.","Prime Minister of India said that the Virus may be an Invisible enemy. but our warriors, medical workers are invincible. He also stressed that violence against COVID warriors will not be tolerated.",National News
Economic Times,2013-02-11 00:00:00,"Economy can bounce back, says PM Modi","ALLAHABAD: At least 20 persons were killed, and scores of others injured on Sunday in a stampede at Allahabad railway station teeming with thousands of pilgrims returning after a holy dip at the Maha Kumbh here.

A senior police officer and highly placed sources said 20 people died in the stampede that occurred at 7 pm when platforms no. 5 and 6 were packed with thousands of passengers.

Eyewitnesses said the stampede was triggered when the railing leading to the foot overbridge over platform no. 6 collapsed when several passengers rushed to board a train. They said there was a sudden surge of passengers after an announcement over the public address system about the arrival of a train.
The platform no. 6 was sealed by authorities. There were reports of a lathi charge which compounded the tragedy. Prime Minister Manmohan Singh condoled loss of lives and instructed railway ministry to provide all possible assistance.

The UP government ordered an inquiry and asked the railways to make proper arrangements to clear rush of devotees. Earlier in the day, two pilgrims were killed in a stampede at the Maha Kumbh here as over three crore people converged for a holy dip on the occasion of Mauni Amavasya, the most auspicious day during the 12-yearly congregation.

The stampede broke out in Sector 12 of the mela area, killing a woman hailing from Varanasi and a middle-aged man, who had come from Bengal, Sector Magistrate Abhay Raj said.
","In Maha Kumbh, nearly 20 persons were killed. Senior Police officer said that 20 people died in the stampede that occurred at 7pm.
Uttar Pradesh government ordered an inquiry and asked the railways to make proper arrangements and also clear rush of devotees.
(Minimum 50 words)
",National News
Business Standard,2013-02-11 00:00:00,At least 20 killed in stampede in Allahabad,"At least 20 people were killed, and scores of others injured tonight in a stampede at Allahabad railway station, teeming with thousands of pilgrims returning after a holy dip at the Maha Kumbh here.
According to Divisional Railway Manager Harinder Rao, 20 people died and scores were injured in the mishap. The stampede occurred at 7 pm when platform no 5 and 6 were packed with thousands of passengers.
Eyewitnesses said the stampede was triggered when the railing leading to the foot overbridge over platform no 6 collapsed, when hundreds of passengers rushed to board a train. Three hours after the mishap, bodies of 20 victims were lying on the platform.

They said there was a sudden surge of passengers after an announcement over the public address system about the arrival of a train. Platform no 6 was sealed by authorities. Eyewitnesses claimed there was a lathi charge by the police, but Rao said the incident happened when passengers were being told to stand in a line to bring the movement of the crowd under control.
The injured have been rushed to various hospitals. Prime Minister Manmohan Singh condoled loss of lives in the tragedy and instructed ministry of railways to provide all possible assistance.
Singh also directed central government departments to extend all possible help to the Uttar Pradesh government in relief operations.
Earlier in the day, two pilgrims were killed in a stampede at the Maha Kumbh here, as over three crore people converged for a holy dip on the occasion of 'Mauni Amavasya', considered an auspicious day during the 12-yearly congregation.

The stampede broke out in Sector-12 of the mela area this evening killing a woman hailing from Varanasi and a middle-aged man, who had come from West Bengal, Sector Magistrate Abhay Raj told PTI.
A few other people received minor injuries in the stampede which occurred due to rush of devotees who were returning from the riverbanks, he said.","As per the sources 20 people died and scores were injured in the mishap. The stampede occurred at 7 pm when platform no 5 and 6 were packed with thousands of passengers.
A few people received minor injuries in the stampede which occurred due to rush of devotees.",National News
Money Control,2013-02-11 00:00:00,Maha Kumbh: Over 20 dead in Allahabad station stampede,"More than 20 people were feared dead and 30 others injured in a stampede at Allahabad railway station in Uttar Pradesh on Sunday. The stampede was caused after railing of an over bridge at the railway station collapsed. Officials, however, are yet to confirm the death toll.
Akhilesh Yadav announced a committee which will probe into the incident. ""We will investigate whether guidelines for managing the crowd was followed on the big day of Mauni Amavasya Snaan,"" said the state government in a statement. It also added that clear directions were given to local authorities that they should ensure that large number of people do not gather at one place. According to the initial reports, over two lakh people were present at the railway station when the stampede took place.

Over three crore people gathered in Allahabad on Sunday to take a holy dip on the occasion of 'Mauni Amavasya' - considered the most auspicious day during the 12-yearly congregation. ""As per our estimates, three crore people have taken a holy dip till 3 pm. The influx of visitors has slowed down a bit since then but the turn-out has already exceeded our expectations,"" Kumbh Mela Officer Mani Prasad Mishra had said earlier in the day.

Through the day devotees kept surging towards Sangam - the confluence of the holy rivers Ganga, Yamuna and the mythical Saraswati - while the 13 'akharas' (sects) of sadhus took out their processions for the second 'Shahi Snan' (royal bath) during the Maha Kumbh. Amid chants of 'Har Har Gange', devotees including a fair sprinkling of foreigners, watched awestruck as 'naga sadhus' with their matted hair, ash-smeared naked bodies adorned with garlands of marigold and 'rudraksh' moved in processions with their 'Shri Mahants' and 'Mahamandaleshwars' (seers) perched atop decorated chariots, horses and elephants.

A number of VIPs, including political heavyweights, film stars and business tycoons have visited the Kumbh over the past few weeks. However, the administration had banned any film promotional activity in the Kumbh area to prevent any situation which could lead to a stampede.

The ritual of bathing started on Saturday afternoon itself when 'Mauni Amavasya' began according to the Hindu almanac and reached its crescendo on Sunday morning. A steady stream of devotees was seen at railway stations and bus stations where people from nearby as well as far-off places took to roads and pathways all of which seemed to be leading towards the Sangam on this day. A railway station in the neighbouring district of Pratapgarh was vandalised on Sunday morning by people angry over non-availability of a special train for a trip to the holy Sangam.

Tight security arrangements were in place with more than 15,000 security personnel drawn from central paramilitary forces like ITBP, CRPF, BSF and RAF besides the Uttar Police and its Provincial Armed Constabulary and Anti-Terrorist Squad keeping a close vigil. Besides, the Army conducted aerial surveys every few minutes.","At least 20 people killed and 20 people are injured due to stappled at railway station in Kumbh Mela Uttar Pradesh.
The CM of Uttar Pradesh Akhilesh Yadav announced an Committee which will probe the incident and ensure the devotees safety and also manage the crowd in the ""Ganga Sanam."".",National News
The Mint,2023-10-02 00:00:00,Gandhian wisdom,"This Gandhi Jayanti, we should reflect upon an important observation the Mahatma made about us-versus-them thinking and its corrosive effect on judgement. Too often, he remarked, do we judge others by their worst actions and ourselves by our best principles. This double standard, often adopted without due self-awareness of it, is worth a mull-over in various contexts today. In the context of India’s religious diversity and the social dynamics thereof, for example, Mahatma Gandhi’s caution should apply to all public discourse on the issue of Khalistan. Links of this fringe separatist drive with terrorism do have a past record, as New Delhi’s spat with Ottawa reminded us, but care must be taken that the Sikh faith and community are not cast in negative light. Since the risk of this has heightened, all deliberations on separatist violence demand reiteration by our leaders and diplomats, both globally and within India, that Indian statehood is not founded on religious belief. As the language deployed tends to encode signals of inclusion and exclusion, statistically invalid conflations of terror with any group of people must be eschewed. Let principles predominate.","In this article, the author reflects on Mahatma Gandhi's wisdom regarding ""us-versus-them"" thinking and its damaging impact on judgment. Gandhi warned against the tendency to judge others by their worst actions while evaluating ourselves by our best principles. ",National News
the mint,2022-06-01 00:00:00,Strategy headwinds,"India’s economic growth estimate for fiscal 2021-22 has been notched down a bit, from 8.9% announced back in February to 8.7% now, according to data released on Tuesday by the statistics ministry. On a base that covid shrank by 6.6% in 2020-21, it would still mean an economy a slight bit larger than its pre-pandemic size in real terms. This is a relief in itself. We would have done better had Omicron and the Ukraine war’s harsh impact not dampened our recovery, letting us achieve an expansion pegged at just 4.1% in the quarter ended 31 March.

With two years lost to the pandemic, we need to clamber onto a rapid-growth trajectory again. This calls for a spring-back not just from covid, but also from a slump that began about five years ago and led to sub-4% expansion in 2019-20. While a big fiscal and monetary push has been made, we also face the adverse after-effects of relief measures taken globally. We may not be headed for stagflation, but price instability is a big threat and lending rates may need to rise sharply. This year’s Budget strategy of sparking a major revival of private investment confronts new headwinds as the worldwide excesses of stimulus efforts kick in.","India's economic growth estimate for fiscal 2021-22 has been slightly lowered from 8.9% to 8.7% due to the impact of Omicron and the Ukraine war. Despite this, the economy is still expected to be slightly larger than its pre-pandemic size. India needs to regain a rapid-growth trajectory after two years lost to the pandemic and a previous slump",Business and Finance
the mint,2022-06-06 00:00:00,Crux of the matter,"
The significance of last week’s speech by Mohan Bhagwat will go up should its call for moderation be heeded across India. As chief of the Rashtriya Swayamsevak Sangh, the ideological mentor of the ruling Bharatiya Janata Party, he endorsed the value of unity in diversity, as also the validity of various paths of faith, including Islam, and asked for a dial-down of disputes over places of worship to lay out a case for global guruhood based on humanist Hindu ideals aided by state power. A war-torn world, in his view, had made space for a pluralist pax-Sanatana of dharmic truth.

This address of 2 June was significant in our home context of Hindu-Muslim tension not just for its Gyanvapi nudge towards either talks or the law but for sensitivity to the broader flashpoint potential in today’s schism. While its Muslim outreach alluded to an asymmetry of threats, in clarifying that the Sangh was not opposed to non-Hindu forms of devotion, it held out an implicit promise to support freedom of religion. Living up to our Constitution on this crucial point would reduce misgivings and thus also the risk of conch shells being misheard by members of a minority group with little political voice left.","Mohan Bhagwat's recent speech, as the chief of the Rashtriya Swayamsevak Sangh, holds great significance if his call for moderation is embraced across India. Bhagwat, who is the ideological mentor of the ruling Bharatiya Janata Party, emphasized the importance of unity in diversity and recognized the validity of various faiths, including Islam.",Politics
the mint,2022-06-08 00:00:00,Denial will not help,"India has been rated the worst performer among 180 countries, ranked by an index of environmental performance put out by Yale and Columbia universities for 2022. Denmark tops the chart, with a score of 77.9, while India’s 18.9 is not just the lowest; it marks a decadal decline. The index uses 40 indicators in three categories. On ecosystem vitality, our rating was dragged down by a biodiversity drop, most acutely in species habitat, compounded by wetland, grassland and tree-cover losses. Fisheries, a strong point, saw a fall over the past decade. On health, while air quality was a big let-down, we notched up gains in sanitation and drinking water. We did rather poorly on climate policy, mostly with carbon emissions to blame.

As is its wont, the government may be tempted to reject these findings as flawed. Every such study would have something that can be challenged. But the shock of a bottom rank, deserved or not, mustn’t detract attention from a need to double down on climate action. Energy shortages have worsened our economic trade-offs, and going green will be a stiff challenge. We must get our act together. And acknowledging a problem squarely is key to solving it.","India has received the lowest ranking among 180 countries in a 2022 environmental performance index released by Yale and Columbia universities. Denmark secured the top position with a score of 77.9, while India's score of 18.9 reflects a decade-long decline. ",International News
The Hindu,2023-10-15 00:00:00,"Balancing policy: On Israel, Palestine and India’s line","Within hours of the massacre of Israeli citizens by Hamas fighters last Saturday, Prime Minister Narendra Modi tweeted India’s solidarity with Israel. While the histories of their conflicts and the scale of violence have been very different, India has faced terror attacks all too often to not feel the pain in Israel where teenagers at a concert, children in a park, grandparents at home, and even babies in cribs were gunned down, amidst other atrocities Hamas carried out, including taking dozens hostage. The sentiments were repeated when Mr. Modi spoke to Israel Prime Minister Benjamin Netanyahu, condemning terrorism in all its forms. India’s second big concern has been the safety of its citizens, especially as Israel began retaliatory strikes on Gaza. Around 18,000 Indians work or study in Israel, in addition to about 85,000 Israelis of Indian origin (from Maharashtra, Manipur, Mizoram, Kerala, and West Bengal). The Ministry of External Affairs (MEA) has chartered flights to bring them home. New Delhi has also added nuance to the initial position, with the MEA delivering the government’s first formal statement. While repeating the condemnation of the Hamas attacks, the statement reminded Israel about the “universal obligation to observe international humanitarian law”, as it carries out “global responsibility to fight the menace of terrorism....” In addition, the MEA reiterated its “long-standing and consistent” position on the Palestine issue.

The statement is a reminder of the tightrope India has walked since 1992, when New Delhi established full diplomatic ties with Israel, while continuing to support the Palestinian cause. There has been a shift towards Israel’s position, given increasingly close bilateral relations, trade, technological assistance, military procurement, and counter-terrorism cooperation. In 2017, Mr. Modi became the first Indian Prime Minister to visit Israel, while in 2018, Mr. Netanyahu visited India. However, Mr. Modi was also the first Indian Prime Minister to make an official visit to Palestine. In 2017, India voted against the U.S. and Israel for an attempt to declare unilaterally all of Jerusalem as the Israeli capital. The policy lines New Delhi is continuing to draw seem clear: to abhor terrorism, but not to condone indiscriminate reprisal bombings, even as it holds its consistent position on Palestine. No claim to righting historical grievances can possibly be used by Hamas to explain its inhuman attacks on Israel. However, a responsible state cannot behave like an insurgent group, and Israel’s latest demand, that more than a million Gaza residents must evacuate as it continues to pound the city and plans a possible ground offensive, will make Delhi’s challenge at balancing policy even more complex.","As we Know that from Gaza Patti, Hamas terrorist attacked on Israel with 5 thousand missiles causes this attacked suffered country announced for war.
 India has faced terror attacks all too often to not feel. so from India our sympathy or solidarity to Israel and we concerned about Indian diaspora which lives in Israel.",International News
the mint,2022-06-10 00:00:00,"Balance, please","As evidence mounts of India’s K-shaped recovery, all policies deserve closer scrutiny. While doles like free food are welcome for have-nots, other folks have fared poorly too. What affects everyone are the economy’s macro settings, many of which have both winners and losers. Take interest rates. Culturally, high charges are frowned upon for their air of usury, but rates held artificially low favour borrowers at the cost of lenders and savers. Next, factor in inflation; since a deflated rupee means debtors get to pay less back in real terms, they gain at the cost of creditors. Last but not least, consider a power asymmetry. Any fiscally expansive government is a big borrower. Debt-fuelled businesses share with it an interest in—if not an open desire for—both cheap credit and a lighter payback burden. A high-powered convergence on this can tilt the scales.

On prices, what’s good for banks converges on paper with what consumers want, stability, but many lenders are state-owned and served well by cheap retail deposits. That leaves most Indian households rather lonely at the raw end of an economy with soaring prices and dismal bank returns. Clearly, a fairer post-covid deal is in order.","When it comes to prices, what's good for banks aligns with consumer desires for stability. However, many Indian banks are state-owned and rely on cheap retail deposits, leaving most households on the losing end in an economy with rising prices and poor bank returns. It is evident that a fairer post-COVID economic approach is needed.





",Business and Finance
